DBN,Number of Test Takers,NUMBER OF CLASSES.max,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,NUMBER OF CLASSES.min,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,NUMBER OF CLASSES.mean,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 PROGRESS GRADE,2009-2010 ADDITIONAL CREDIT,2008-09 PROGRESS REPORT GRADE,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg)
K382,50,9.0,241.0,35.0,35.0,35.0,1.0,11.0,5.5,3.0,8.0,2.6470588235294117,65.52941176470588,24.77058823529412,22.41176470588235,27.38235294117647,15.6,17.0,2.51,B,60.4,5.8,F,22.7,A,25.9,D,6.0,,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K408,31,10.0,257.0,30.0,28.0,35.0,1.0,20.0,20.0,12.0,20.0,3.3529411764705883,85.3529411764706,25.847058823529412,21.058823529411764,29.88235294117647,16.0,17.0,2.35,D,44.6,5.2,F,14.9,B,24.5,D,0.0,,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K524,32,16.0,219.0,24.3,24.0,26.0,1.0,10.0,10.0,10.0,10.0,6.333333333333333,111.5,17.98333333333333,16.0,19.833333333333332,13.4,17.0,2.15,B,66.7,13.0,A,11.2,D,41.0,B,1.5,A,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K528,81,8.0,267.0,34.0,34.0,34.0,1.0,27.0,17.7,11.0,22.0,3.75,97.4,27.24,22.65,31.3,13.9,17.0,2.28,C,56.2,6.3,D,15.3,B,34.6,C,0.0,C,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K531,21,7.0,133.0,36.0,36.0,36.0,1.0,19.0,15.7,8.0,19.0,2.28125,56.84375,27.296875,25.3125,29.3125,15.4,17.0,2.21,A,78.0,14.0,A,18.0,A,40.0,B,6.0,A,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K533,25,8.0,184.0,29.0,29.0,29.0,1.0,12.0,12.0,11.0,12.0,2.2051282051282053,47.17948717948718,22.474358974358974,20.564102564102566,24.076923076923077,12.0,17.0,2.26,C,57.3,6.5,D,18.1,A,29.7,C,3.0,B,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K537,71,19.0,351.0,33.0,33.0,36.0,1.0,15.0,15.0,10.0,15.0,4.333333333333333,98.25,23.520833333333332,19.708333333333332,27.833333333333332,16.2,17.0,2.15,C,57.1,8.2,C,14.3,C,31.6,C,3.0,C,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K539,54,9.0,232.0,33.1,33.0,34.0,1.0,12.0,12.0,12.0,12.0,2.88,71.24,23.976,20.68,26.6,15.1,17.0,2.12,A,86.0,11.2,A,18.5,A,51.8,A,4.5,A,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K543,68,10.0,264.0,29.5,28.0,33.0,1.0,23.0,20.6,15.0,22.0,5.466666666666667,127.4,23.486666666666668,19.266666666666666,26.666666666666668,17.3,17.0,3.23,A,79.2,11.3,A,19.2,A,45.7,A,3.0,A,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K544,49,10.0,260.0,34.0,34.0,34.0,1.0,6.0,6.0,6.0,6.0,2.875,67.75,21.015625,17.84375,23.5625,17.0,17.0,2.27,C,47.7,7.1,C,15.3,B,25.3,D,0.0,D,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K546,83,10.0,216.0,27.0,27.0,31.0,2.0,31.0,15.5,11.0,17.0,4.0,90.05882352941177,22.341176470588238,17.823529411764707,25.941176470588236,16.3,17.0,2.98,A,82.2,11.4,A,18.4,A,49.4,A,3.0,A,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K547,45,8.0,195.0,31.0,30.0,32.0,1.0,16.0,13.5,10.0,16.0,3.25,72.67857142857143,22.99285714285714,19.642857142857142,26.107142857142858,14.2,17.0,2.45,A,71.7,11.3,A,17.7,A,36.7,B,6.0,C,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K548,37,5.0,126.0,34.0,34.0,34.0,1.0,20.0,15.5,13.0,16.0,2.4814814814814814,59.407407407407405,24.174074074074074,21.77777777777778,26.77777777777778,14.9,17.0,2.45,A,77.3,9.1,B,22.4,A,41.3,B,4.5,B,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K590,113,30.0,792.0,29.5,25.0,36.0,2.0,25.0,12.5,8.0,15.0,8.26086956521739,202.47826086956522,22.947826086956525,16.043478260869566,29.52173913043478,20.2,17.0,3.32,B,69.4,7.4,C,16.2,B,45.8,A,0.0,A,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K600,282,31.0,810.0,34.0,34.0,39.0,1.0,20.0,20.0,11.0,20.0,9.185185185185185,259.14814814814815,27.97407407407408,21.925925925925927,31.333333333333332,16.0,17.0,2.55,C,49.4,8.7,B,12.5,C,28.2,C,0.0,B,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K625,121,13.0,312.0,33.7,33.0,37.0,1.0,12.0,12.0,10.0,12.0,4.066666666666666,104.36666666666666,22.243333333333336,18.033333333333335,25.166666666666668,17.1,17.0,1.83,C,55.4,6.5,D,12.7,C,36.2,B,0.0,C,100,75,0.75,25,0.25,0,0,100,100,0,0,0.0,0,0.0,0,0.0,84,0.84,9,0.09,7,0.07,0,0.0,100,100,1,0.01,99,0.99,0,0.0,0,0,100,100,36,0.36,64,0.64,0,0,100,100,89.67,26551
K415,42,6.0,125.0,20.8,18.0,33.0,1.0,10.0,10.0,10.0,10.0,2.3333333333333335,38.22222222222222,14.644444444444446,12.666666666666666,17.0,13.5,18.0,,,,,,,,,,,,19,14,0.74,5,0.26,0,0,19,100,0,2,0.11,0,0.0,1,0.05,3,0.16,11,0.58,2,0.11,0,0.0,19,100,2,0.11,17,0.89,0,0.0,0,0,19,100,1,0.05,18,0.95,0,0,19,100,89.83,18641
K500,128,12.0,313.0,28.8,22.0,37.0,1.0,11.0,10.0,10.0,10.0,4.666666666666667,113.33333333333333,20.73888888888889,15.666666666666666,24.72222222222222,17.6,18.0,,,,,,,,,,,,19,14,0.74,5,0.26,0,0,19,100,0,2,0.11,0,0.0,1,0.05,3,0.16,11,0.58,2,0.11,0,0.0,19,100,2,0.11,17,0.89,0,0.0,0,0,19,100,1,0.05,18,0.95,0,0,19,100,89.83,18641
K515,29,3.0,60.0,21.0,21.0,27.0,1.0,5.0,5.0,5.0,5.0,1.6363636363636365,23.818181818181817,14.181818181818182,12.545454545454545,15.636363636363637,7.3,18.0,,,,,,,,,,,,19,14,0.74,5,0.26,0,0,19,100,0,2,0.11,0,0.0,1,0.05,3,0.16,11,0.58,2,0.11,0,0.0,19,100,2,0.11,17,0.89,0,0.0,0,0,19,100,1,0.05,18,0.95,0,0,19,100,89.83,18641
K409,61,6.0,151.0,26.0,26.0,30.0,1.0,10.0,10.0,10.0,10.0,3.2,71.8,22.232,19.84,24.64,14.8,19.0,2.93,B,59.2,8.4,C,14.7,B,36.1,B,0.0,B,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K420,140,11.0,289.0,31.0,31.0,36.0,1.0,11.0,11.0,10.0,11.0,3.8636363636363638,86.54545454545455,21.427272727272722,17.363636363636363,24.90909090909091,13.8,19.0,,,,,,,,,,,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K502,29,10.0,262.0,41.0,41.0,41.0,1.0,10.0,10.0,10.0,10.0,2.393939393939394,61.666666666666664,25.321212121212117,23.303030303030305,27.181818181818183,18.2,19.0,2.16,C,56.2,7.9,C,10.6,D,37.7,B,0.0,C,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K504,23,8.0,249.0,34.8,34.0,36.0,1.0,25.0,18.4,11.0,20.0,3.0,80.95833333333333,26.945833333333336,23.916666666666668,29.916666666666668,16.9,19.0,2.22,B,65.2,8.6,C,12.6,C,39.5,B,4.5,C,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K507,49,8.0,237.0,34.5,34.0,35.0,1.0,12.0,12.0,11.0,12.0,3.3076923076923075,88.73076923076923,25.22692307692308,22.76923076923077,27.384615384615383,16.2,19.0,2.2,B,58.0,4.0,F,20.4,A,29.1,C,4.5,B,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K510,28,6.0,200.0,33.3,33.0,35.0,1.0,15.0,15.0,11.0,15.0,2.6551724137931036,72.75862068965517,26.82758620689655,23.93103448275862,29.275862068965516,14.7,19.0,2.27,B,67.1,6.9,D,16.8,B,38.9,B,4.5,B,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K615,184,24.0,629.0,33.0,33.0,34.0,1.0,6.0,6.0,5.0,6.0,5.277777777777778,136.91666666666666,22.522222222222222,19.944444444444443,24.583333333333332,17.5,19.0,2.51,B,62.0,7.6,C,17.0,B,34.4,C,3.0,B,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K659,50,8.0,204.0,34.0,34.0,42.0,1.0,26.0,22.7,20.0,24.0,3.0,78.04166666666667,26.912499999999994,25.583333333333332,28.208333333333332,16.0,19.0,2.49,F,38.9,7.9,C,8.0,F,23.0,F,0.0,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K660,49,28.0,772.0,30.7,23.0,34.0,1.0,10.0,10.0,10.0,10.0,7.6875,205.9375,24.7625,18.0625,29.75,14.8,19.0,1.78,B,58.0,6.4,D,9.4,F,39.2,B,3.0,D,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,87.81,25632
K445,317,49.0,1484.0,37.0,37.0,43.0,1.0,11.0,11.0,10.0,11.0,9.275,257.675,23.915,17.125,28.8,17.5,20.0,2.35,B,68.5,9.9,B,16.2,B,34.9,B,7.5,B,305,234,0.77,71,0.23,0,0,305,100,0,1,0.0,0,0.0,6,0.02,289,0.95,0,0.0,8,0.03,1,0.0,305,100,6,0.02,298,0.98,1,0.0,0,0,305,100,158,0.52,147,0.48,0,0,305,100,92.77,44214
K485,221,17.0,492.0,33.8,33.0,36.0,1.0,10.0,10.0,10.0,10.0,5.069767441860465,147.7674418604651,27.07674418604651,23.25581395348837,29.372093023255815,18.5,20.0,2.58,A,77.4,11.6,A,19.9,A,39.9,B,6.0,A,305,234,0.77,71,0.23,0,0,305,100,0,1,0.0,0,0.0,6,0.02,289,0.95,0,0.0,8,0.03,1,0.0,305,100,6,0.02,298,0.98,1,0.0,0,0,305,100,158,0.52,147,0.48,0,0,305,100,92.77,44214
K490,581,75.0,2101.0,54.0,54.0,56.0,1.0,11.0,11.0,10.0,11.0,12.166666666666666,337.3809523809524,25.1452380952381,19.357142857142858,28.69047619047619,21.2,20.0,2.59,B,69.5,11.0,A,13.2,C,36.3,B,9.0,B,305,234,0.77,71,0.23,0,0,305,100,0,1,0.0,0,0.0,6,0.02,289,0.95,0,0.0,8,0.03,1,0.0,305,100,6,0.02,298,0.98,1,0.0,0,0,305,100,158,0.52,147,0.48,0,0,305,100,92.77,44214
K505,385,67.0,1917.0,35.0,35.0,35.0,1.0,21.0,19.3,10.0,21.0,18.238095238095237,520.3333333333334,28.35714285714286,20.428571428571427,31.904761904761905,17.4,20.0,2.29,B,64.9,9.8,B,12.0,C,37.1,B,6.0,B,305,234,0.77,71,0.23,0,0,305,100,0,1,0.0,0,0.0,6,0.02,289,0.95,0,0.0,8,0.03,1,0.0,305,100,6,0.02,298,0.98,1,0.0,0,0,305,100,158,0.52,147,0.48,0,0,305,100,92.77,44214
K337,35,28.0,332.0,22.7,21.0,27.0,3.0,48.0,11.6,10.0,13.0,10.0,140.44444444444446,16.11111111111111,13.88888888888889,20.11111111111111,14.3,21.0,2.05,C,48.2,11.2,A,5.9,F,31.1,C,0.0,A,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K344,66,10.0,254.0,41.0,41.0,41.0,1.0,24.0,22.0,11.0,22.0,3.55,97.7,28.229999999999997,24.1,31.55,16.9,21.0,2.57,B,59.1,5.3,F,14.0,C,33.8,C,6.0,B,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K348,33,8.0,245.0,30.6,29.0,33.0,1.0,14.0,14.0,14.0,14.0,3.2,84.7,25.050000000000004,22.15,27.55,15.0,21.0,2.36,B,67.8,9.0,B,18.2,A,37.6,B,3.0,A,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K400,40,2.0,43.0,24.0,24.0,24.0,1.0,11.0,11.0,11.0,11.0,1.4444444444444444,24.77777777777778,17.22222222222222,16.77777777777778,17.666666666666668,5.4,21.0,,,,,,,,,,,,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K410,379,53.0,1665.0,35.3,34.0,45.0,1.0,18.0,11.0,10.0,12.0,8.4,237.925,25.084999999999997,19.775,28.05,18.8,21.0,2.53,C,50.8,7.8,C,8.7,F,31.3,C,3.0,B,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K525,686,54.0,1688.0,40.0,39.0,46.0,1.0,16.0,12.8,10.0,14.0,13.069767441860465,383.25581395348837,25.899999999999995,19.651162790697676,28.302325581395348,19.1,21.0,2.75,A,70.1,9.8,B,17.0,B,34.3,C,9.0,B,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K540,349,52.0,1573.0,40.0,40.0,41.0,1.0,10.0,10.0,10.0,10.0,9.878048780487806,274.9268292682927,24.37560975609756,19.24390243902439,27.51219512195122,20.7,21.0,2.65,C,55.5,5.7,F,10.0,D,32.3,C,7.5,C,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K620,56,27.0,752.0,34.0,34.0,35.0,1.0,12.0,7.5,5.0,8.0,6.555555555555555,160.11111111111111,21.666666666666668,16.333333333333332,25.47222222222222,17.8,21.0,2.02,D,46.0,6.3,D,12.3,C,27.4,D,0.0,C,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K690,86,11.0,307.0,32.7,32.0,33.0,1.0,20.0,20.0,13.0,20.0,3.707317073170732,100.36585365853658,26.729268292682928,22.902439024390244,29.29268292682927,15.8,21.0,2.5,A,70.4,8.6,C,17.0,B,34.3,C,10.5,B,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0.0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100,90.5,34342
K405,725,49.0,1505.0,33.7,33.0,34.0,1.0,11.0,10.5,10.0,11.0,13.076923076923077,407.9230769230769,26.543589743589745,21.615384615384617,27.82051282051282,22.2,22.0,3.16,B,65.8,7.5,C,17.4,B,31.9,C,9.0,B,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0.0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0.0,0,0,228,100,30,0.13,198,0.87,0,0,228,100,92.57,36352
K425,641,50.0,1226.0,35.0,35.0,35.0,1.0,22.0,11.0,10.0,12.0,11.476190476190476,332.9047619047619,25.54523809523809,19.428571428571427,28.095238095238095,20.0,22.0,2.72,B,59.6,10.9,A,12.0,C,30.7,C,6.0,B,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0.0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0.0,0,0,228,100,30,0.13,198,0.87,0,0,228,100,92.57,36352
K495,192,38.0,1094.0,41.5,41.0,46.0,1.0,11.0,10.6,10.0,11.0,6.833333333333333,193.97619047619048,24.819047619047616,20.738095238095237,27.261904761904763,17.7,22.0,2.21,C,57.2,8.2,C,12.0,C,34.0,C,3.0,C,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0.0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0.0,0,0,228,100,30,0.13,198,0.87,0,0,228,100,92.57,36352
K535,239,17.0,546.0,34.0,34.0,34.0,1.0,27.0,26.5,15.0,27.0,6.0476190476190474,188.38095238095238,30.990476190476194,26.047619047619047,33.142857142857146,21.8,22.0,3.54,B,64.5,7.5,C,14.5,B,42.5,A,0.0,A,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0.0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0.0,0,0,228,100,30,0.13,198,0.87,0,0,228,100,92.57,36352
K555,109,10.0,240.0,30.8,28.0,36.0,1.0,25.0,13.0,12.0,14.0,4.714285714285714,115.0952380952381,24.3952380952381,19.142857142857142,28.666666666666668,22.2,22.0,3.27,A,74.2,12.5,A,17.2,B,44.5,A,0.0,A,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0.0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0.0,0,0,228,100,30,0.13,198,0.87,0,0,228,100,92.57,36352
K493,37,15.0,402.0,37.0,37.0,37.0,1.0,10.0,10.0,10.0,10.0,3.4642857142857144,87.32142857142857,22.70357142857143,20.178571428571427,25.178571428571427,17.0,23.0,2.25,C,53.7,9.4,B,15.1,B,29.2,C,0.0,B,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,86.98,11833
K514,50,7.0,169.0,31.0,31.0,33.0,1.0,22.0,17.0,13.0,19.0,3.0,76.68,26.256000000000004,23.32,28.48,13.7,23.0,2.38,B,63.9,8.8,B,18.0,A,37.1,B,0.0,B,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,86.98,11833
K645,24,6.0,174.0,31.0,31.0,32.0,1.0,20.0,10.0,10.0,10.0,2.6923076923076925,58.53846153846154,20.738461538461536,17.615384615384617,23.46153846153846,17.2,23.0,,,,,,,,,,,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,86.98,11833
K697,59,12.0,322.0,34.0,34.0,34.0,1.0,15.0,15.0,10.0,15.0,3.4516129032258065,87.58064516129032,24.461290322580645,21.677419354838708,26.741935483870968,16.0,23.0,2.36,A,76.9,10.3,B,18.5,A,45.1,A,3.0,A,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,86.98,11833
Q264,65,8.0,228.0,32.6,30.0,39.0,1.0,20.0,19.3,10.0,20.0,3.730769230769231,93.26923076923077,25.407692307692308,21.0,29.5,17.4,24.0,2.82,A,92.4,9.3,B,20.9,A,53.2,A,9.0,A,2,1,0.5,1,0.5,0,0,2,100,0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100,0,0.0,2,1.0,0,0.0,0,0,2,100,0,0.0,2,1.0,0,0,2,100,92.21,52936
Q267,67,5.0,131.0,34.0,34.0,34.0,1.0,13.0,13.0,13.0,13.0,2.6470588235294117,66.47058823529412,26.317647058823532,23.0,29.529411764705884,15.7,24.0,2.46,A,78.1,10.5,A,20.6,A,42.5,A,4.5,A,2,1,0.5,1,0.5,0,0,2,100,0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100,0,0.0,2,1.0,0,0.0,0,0,2,100,0,0.0,2,1.0,0,0,2,100,92.21,52936
