DBN,Number of Test Takers,NUMBER OF CLASSES.max,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,NUMBER OF CLASSES.min,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,NUMBER OF CLASSES.mean,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 PROGRESS GRADE,2009-2010 ADDITIONAL CREDIT,2008-09 PROGRESS REPORT GRADE,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg)
K474,102,24.0,733.0,35.0,35.0,37.0,1.0,32.0,24.9,10.0,30.0,5.913043478260869,171.56521739130434,29.59565217391304,24.608695652173914,33.43478260869565,18.2,14.0,2.43,B,58.1,6.6,D,11.7,D,33.8,C,6.0,B,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K477,82,16.0,451.0,34.0,34.0,35.0,1.0,18.0,18.0,11.0,18.0,4.642857142857143,135.75,29.639285714285712,26.428571428571427,31.964285714285715,16.4,14.0,2.53,D,40.7,3.8,F,8.0,F,27.4,D,1.5,D,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K478,80,16.0,414.0,34.0,34.0,58.0,1.0,20.0,16.5,10.0,20.0,5.571428571428571,152.07142857142858,27.94285714285714,22.5,32.57142857142857,16.6,14.0,2.54,A,88.7,8.8,B,25.0,A,41.4,B,13.5,A,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K488,44,7.0,142.0,30.0,30.0,30.0,1.0,25.0,12.7,10.0,14.0,2.64,56.04,22.684,19.36,25.2,12.1,14.0,2.41,A,74.1,10.6,A,22.9,A,33.1,C,7.5,A,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K558,44,6.0,146.0,33.0,33.0,33.0,1.0,20.0,14.5,10.0,17.0,2.0689655172413794,51.93103448275862,25.913793103448278,23.517241379310345,28.551724137931036,16.4,14.0,2.45,A,100.2,12.6,A,17.1,B,60.0,A,10.5,A,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K561,58,9.0,229.0,31.0,31.0,34.0,1.0,20.0,20.0,16.0,20.0,2.7777777777777777,71.51851851851852,25.67037037037037,22.74074074074074,28.333333333333332,13.7,14.0,2.64,A,101.7,13.1,A,20.9,A,58.7,A,9.0,A,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K610,73,15.0,406.0,35.0,35.0,36.0,1.0,28.0,19.3,11.0,28.0,4.6,123.16,28.464000000000002,22.88,32.72,14.0,14.0,2.02,C,52.5,5.9,F,14.0,C,29.6,C,3.0,B,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K685,16,14.0,255.0,20.5,19.0,22.0,1.0,19.0,16.0,12.0,16.0,3.5384615384615383,64.76923076923077,18.4,16.923076923076923,19.615384615384617,13.8,14.0,2.09,A,92.6,13.0,A,18.5,A,53.6,A,7.5,A,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0.0,1,0.02,41,0.87,1,0.02,2,0.04,0,0.0,47,99,0,0.0,47,1.0,0,0.0,0,0,47,100,31,0.66,16,0.34,0,0,47,100,89.41,20181
K429,50,4.0,92.0,32.0,32.0,32.0,1.0,5.0,2.5,2.0,3.0,1.7272727272727273,30.666666666666668,19.10909090909091,18.333333333333332,19.939393939393938,12.0,15.0,2.24,F,34.5,6.8,D,12.6,C,15.1,F,0.0,C,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K448,63,7.0,192.0,35.0,34.0,40.0,1.0,7.0,7.0,7.0,7.0,2.8863636363636362,73.75,24.96363636363636,22.045454545454547,27.636363636363637,11.7,15.0,2.14,A,73.7,9.3,B,25.0,A,33.4,C,6.0,A,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
